Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_10_PKCS5Padding_1521625978246;61;1,00
E_AES_192_CBC_10_PKCS5Padding_1521625978246;48;,00
E_AES_256_CBC_10_PKCS5Padding_1521625978246;88;,00
E_AES_128_CBC_10_ZeroBytePadding_1521625978246;70;,00
E_AES_192_CBC_10_ZeroBytePadding_1521625978246;67;1,00
E_AES_256_CBC_10_ZeroBytePadding_1521625978246;67;,00
E_AES_128_ECB_10_PKCS5Padding_1521625978246;71;,00
E_AES_192_ECB_10_PKCS5Padding_1521625978246;71;,00
E_AES_256_ECB_10_PKCS5Padding_1521625978246;91;,00
E_AES_128_ECB_10_ZeroBytePadding_1521625978246;75;,00
E_AES_192_ECB_10_ZeroBytePadding_1521625978246;67;,00
E_AES_256_ECB_10_ZeroBytePadding_1521625978246;77;,00
