Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_10_PKCS5Padding_1521406337454;31;2,00
D_AES_192_CBC_10_PKCS5Padding_1521406337454;59;,00
D_AES_256_CBC_10_PKCS5Padding_1521406337454;77;1,00
D_AES_128_CBC_10_ZeroBytePadding_1521406337454;68;,00
D_AES_192_CBC_10_ZeroBytePadding_1521406337454;47;,00
D_AES_256_CBC_10_ZeroBytePadding_1521406337454;73;1,00
D_AES_128_ECB_10_PKCS5Padding_1521406337454;78;,00
D_AES_192_ECB_10_PKCS5Padding_1521406337454;72;,00
D_AES_256_ECB_10_PKCS5Padding_1521406337454;29;1,00
D_AES_128_ECB_10_ZeroBytePadding_1521406337454;21;,00
D_AES_192_ECB_10_ZeroBytePadding_1521406337454;58;,00
D_AES_256_ECB_10_ZeroBytePadding_1521406337454;47;,00
