Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_10_PKCS5Padding_1521447778051;63;,00
E_AES_192_CBC_10_PKCS5Padding_1521447778051;51;,00
E_AES_256_CBC_10_PKCS5Padding_1521447778051;40;,00
E_AES_128_CBC_10_ZeroBytePadding_1521447778051;65;1,00
E_AES_192_CBC_10_ZeroBytePadding_1521447778051;95;,00
E_AES_256_CBC_10_ZeroBytePadding_1521447778051;50;,00
E_AES_128_ECB_10_PKCS5Padding_1521447778051;48;,00
E_AES_192_ECB_10_PKCS5Padding_1521447778051;37;,00
E_AES_256_ECB_10_PKCS5Padding_1521447778051;99;,00
E_AES_128_ECB_10_ZeroBytePadding_1521447778051;91;,00
E_AES_192_ECB_10_ZeroBytePadding_1521447778051;74;,00
E_AES_256_ECB_10_ZeroBytePadding_1521447778051;99;,00
