Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_10_PKCS5Padding_1521459335971;69;,00
D_AES_192_CBC_10_PKCS5Padding_1521459335971;36;,00
D_AES_256_CBC_10_PKCS5Padding_1521459335971;76;,00
D_AES_128_CBC_10_ZeroBytePadding_1521459335971;88;,00
D_AES_192_CBC_10_ZeroBytePadding_1521459335971;80;,00
D_AES_256_CBC_10_ZeroBytePadding_1521459335971;87;,00
D_AES_128_ECB_10_PKCS5Padding_1521459335971;71;,00
D_AES_192_ECB_10_PKCS5Padding_1521459335971;68;,00
D_AES_256_ECB_10_PKCS5Padding_1521459335971;87;,00
D_AES_128_ECB_10_ZeroBytePadding_1521459335971;82;,00
D_AES_192_ECB_10_ZeroBytePadding_1521459335971;77;,00
D_AES_256_ECB_10_ZeroBytePadding_1521459335971;68;,00
