Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_10_PKCS5Padding_1521404635390;77;,00
D_AES_192_CBC_10_PKCS5Padding_1521404635390;66;1,00
D_AES_256_CBC_10_PKCS5Padding_1521404635390;73;1,00
D_AES_128_CBC_10_ZeroBytePadding_1521404635390;61;,00
D_AES_192_CBC_10_ZeroBytePadding_1521404635390;82;,00
D_AES_256_CBC_10_ZeroBytePadding_1521404635390;74;1,00
D_AES_128_ECB_10_PKCS5Padding_1521404635390;64;,00
D_AES_192_ECB_10_PKCS5Padding_1521404635390;105;1,00
D_AES_256_ECB_10_PKCS5Padding_1521404635390;74;,00
D_AES_128_ECB_10_ZeroBytePadding_1521404635390;66;,00
D_AES_192_ECB_10_ZeroBytePadding_1521404635390;61;,00
D_AES_256_ECB_10_ZeroBytePadding_1521404635390;49;,00
