Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_10_PKCS5Padding_1521406247944;55;,00
E_AES_192_CBC_10_PKCS5Padding_1521406247944;47;,00
E_AES_256_CBC_10_PKCS5Padding_1521406247944;72;,00
E_AES_128_CBC_10_ZeroBytePadding_1521406247944;65;1,00
E_AES_192_CBC_10_ZeroBytePadding_1521406247944;49;,00
E_AES_256_CBC_10_ZeroBytePadding_1521406247944;55;,00
E_AES_128_ECB_10_PKCS5Padding_1521406247944;40;,00
E_AES_192_ECB_10_PKCS5Padding_1521406247944;91;,00
E_AES_256_ECB_10_PKCS5Padding_1521406247944;64;1,00
E_AES_128_ECB_10_ZeroBytePadding_1521406247944;82;,00
E_AES_192_ECB_10_ZeroBytePadding_1521406247944;81;,00
E_AES_256_ECB_10_ZeroBytePadding_1521406247944;48;,00
