Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_10_PKCS5Padding_1521407735433;30;,00
D_AES_192_CBC_10_PKCS5Padding_1521407735433;64;,00
D_AES_256_CBC_10_PKCS5Padding_1521407735433;88;,00
D_AES_128_CBC_10_ZeroBytePadding_1521407735433;74;,00
D_AES_192_CBC_10_ZeroBytePadding_1521407735433;74;,00
D_AES_256_CBC_10_ZeroBytePadding_1521407735433;31;,00
D_AES_128_ECB_10_PKCS5Padding_1521407735433;73;3,00
D_AES_192_ECB_10_PKCS5Padding_1521407735433;44;,00
D_AES_256_ECB_10_PKCS5Padding_1521407735433;77;,00
D_AES_128_ECB_10_ZeroBytePadding_1521407735433;88;,00
D_AES_192_ECB_10_ZeroBytePadding_1521407735433;88;,00
D_AES_256_ECB_10_ZeroBytePadding_1521407735433;80;,00
