Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_10_PKCS5Padding_1521447077192;41;1,00
E_AES_192_CBC_10_PKCS5Padding_1521447077192;46;,00
E_AES_256_CBC_10_PKCS5Padding_1521447077192;52;,00
E_AES_128_CBC_10_ZeroBytePadding_1521447077192;56;1,00
E_AES_192_CBC_10_ZeroBytePadding_1521447077192;48;,00
E_AES_256_CBC_10_ZeroBytePadding_1521447077192;69;1,00
E_AES_128_ECB_10_PKCS5Padding_1521447077192;69;,00
E_AES_192_ECB_10_PKCS5Padding_1521447077192;55;,00
E_AES_256_ECB_10_PKCS5Padding_1521447077192;73;,00
E_AES_128_ECB_10_ZeroBytePadding_1521447077192;44;,00
E_AES_192_ECB_10_ZeroBytePadding_1521447077192;75;,00
E_AES_256_ECB_10_ZeroBytePadding_1521447077192;46;,00
