Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_10_PKCS5Padding_1521626154590;53;,00
E_AES_192_CBC_10_PKCS5Padding_1521626154590;53;,00
E_AES_256_CBC_10_PKCS5Padding_1521626154590;53;,00
E_AES_128_CBC_10_ZeroBytePadding_1521626154590;77;,00
E_AES_192_CBC_10_ZeroBytePadding_1521626154590;76;,00
E_AES_256_CBC_10_ZeroBytePadding_1521626154590;60;,00
E_AES_128_ECB_10_PKCS5Padding_1521626154590;65;,00
E_AES_192_ECB_10_PKCS5Padding_1521626154590;62;,00
E_AES_256_ECB_10_PKCS5Padding_1521626154590;73;,00
E_AES_128_ECB_10_ZeroBytePadding_1521626154590;71;,00
E_AES_192_ECB_10_ZeroBytePadding_1521626154590;77;,00
E_AES_256_ECB_10_ZeroBytePadding_1521626154590;73;,00
