Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_10_PKCS5Padding_1521409238172;31;1,00
D_AES_192_CBC_10_PKCS5Padding_1521409238172;86;,00
D_AES_256_CBC_10_PKCS5Padding_1521409238172;66;,00
D_AES_128_CBC_10_ZeroBytePadding_1521409238172;88;,00
D_AES_192_CBC_10_ZeroBytePadding_1521409238172;74;,00
D_AES_256_CBC_10_ZeroBytePadding_1521409238172;90;,00
D_AES_128_ECB_10_PKCS5Padding_1521409238172;75;,00
D_AES_192_ECB_10_PKCS5Padding_1521409238172;72;,00
D_AES_256_ECB_10_PKCS5Padding_1521409238172;67;,00
D_AES_128_ECB_10_ZeroBytePadding_1521409238172;67;,00
D_AES_192_ECB_10_ZeroBytePadding_1521409238172;86;,00
D_AES_256_ECB_10_ZeroBytePadding_1521409238172;67;,00
