Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_10_PKCS5Padding_1521447285304;58;1,00
D_AES_192_CBC_10_PKCS5Padding_1521447285304;62;1,00
D_AES_256_CBC_10_PKCS5Padding_1521447285304;84;1,00
D_AES_128_CBC_10_ZeroBytePadding_1521447285304;81;2,00
D_AES_192_CBC_10_ZeroBytePadding_1521447285304;34;,00
D_AES_256_CBC_10_ZeroBytePadding_1521447285304;56;,00
D_AES_128_ECB_10_PKCS5Padding_1521447285304;24;,00
D_AES_192_ECB_10_PKCS5Padding_1521447285304;34;,00
D_AES_256_ECB_10_PKCS5Padding_1521447285304;63;,00
D_AES_128_ECB_10_ZeroBytePadding_1521447285304;25;,00
D_AES_192_ECB_10_ZeroBytePadding_1521447285304;47;,00
D_AES_256_ECB_10_ZeroBytePadding_1521447285304;57;,00
