Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_10_PKCS5Padding_1521625865134;42;,00
E_AES_192_CBC_10_PKCS5Padding_1521625865134;62;,00
E_AES_256_CBC_10_PKCS5Padding_1521625865134;64;,00
E_AES_128_CBC_10_ZeroBytePadding_1521625865134;70;,00
E_AES_192_CBC_10_ZeroBytePadding_1521625865134;39;,00
E_AES_256_CBC_10_ZeroBytePadding_1521625865134;61;1,00
E_AES_128_ECB_10_PKCS5Padding_1521625865134;72;,00
E_AES_192_ECB_10_PKCS5Padding_1521625865134;67;,00
E_AES_256_ECB_10_PKCS5Padding_1521625865134;70;,00
E_AES_128_ECB_10_ZeroBytePadding_1521625865134;73;,00
E_AES_192_ECB_10_ZeroBytePadding_1521625865134;74;,00
E_AES_256_ECB_10_ZeroBytePadding_1521625865134;70;,00
