Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_10_PKCS5Padding_1521407068436;78;1,00
D_AES_192_CBC_10_PKCS5Padding_1521407068436;70;,00
D_AES_256_CBC_10_PKCS5Padding_1521407068436;75;,00
D_AES_128_CBC_10_ZeroBytePadding_1521407068436;73;,00
D_AES_192_CBC_10_ZeroBytePadding_1521407068436;47;1,00
D_AES_256_CBC_10_ZeroBytePadding_1521407068436;27;,00
D_AES_128_ECB_10_PKCS5Padding_1521407068436;82;,00
D_AES_192_ECB_10_PKCS5Padding_1521407068436;82;,00
D_AES_256_ECB_10_PKCS5Padding_1521407068436;64;1,00
D_AES_128_ECB_10_ZeroBytePadding_1521407068436;48;,00
D_AES_192_ECB_10_ZeroBytePadding_1521407068436;70;,00
D_AES_256_ECB_10_ZeroBytePadding_1521407068436;43;,00
