Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_10_PKCS5Padding_1521448418435;68;,00
E_AES_192_CBC_10_PKCS5Padding_1521448418435;77;,00
E_AES_256_CBC_10_PKCS5Padding_1521448418435;62;,00
E_AES_128_CBC_10_ZeroBytePadding_1521448418435;66;,00
E_AES_192_CBC_10_ZeroBytePadding_1521448418435;47;1,00
E_AES_256_CBC_10_ZeroBytePadding_1521448418435;73;,00
E_AES_128_ECB_10_PKCS5Padding_1521448418435;22;,00
E_AES_192_ECB_10_PKCS5Padding_1521448418435;62;,00
E_AES_256_ECB_10_PKCS5Padding_1521448418435;66;,00
E_AES_128_ECB_10_ZeroBytePadding_1521448418435;64;,00
E_AES_192_ECB_10_ZeroBytePadding_1521448418435;82;,00
E_AES_256_ECB_10_ZeroBytePadding_1521448418435;72;,00
