Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_10_PKCS5Padding_1521449162185;49;,00
E_AES_192_CBC_10_PKCS5Padding_1521449162185;62;,00
E_AES_256_CBC_10_PKCS5Padding_1521449162185;67;,00
E_AES_128_CBC_10_ZeroBytePadding_1521449162185;59;,00
E_AES_192_CBC_10_ZeroBytePadding_1521449162185;73;,00
E_AES_256_CBC_10_ZeroBytePadding_1521449162185;96;,00
E_AES_128_ECB_10_PKCS5Padding_1521449162185;82;1,00
E_AES_192_ECB_10_PKCS5Padding_1521449162185;79;,00
E_AES_256_ECB_10_PKCS5Padding_1521449162185;80;,00
E_AES_128_ECB_10_ZeroBytePadding_1521449162185;74;,00
E_AES_192_ECB_10_ZeroBytePadding_1521449162185;66;,00
E_AES_256_ECB_10_ZeroBytePadding_1521449162185;80;,00
