Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_10_PKCS5Padding_1521449275736;30;,00
D_AES_192_CBC_10_PKCS5Padding_1521449275736;76;,00
D_AES_256_CBC_10_PKCS5Padding_1521449275736;18;,00
D_AES_128_CBC_10_ZeroBytePadding_1521449275736;75;1,00
D_AES_192_CBC_10_ZeroBytePadding_1521449275736;64;,00
D_AES_256_CBC_10_ZeroBytePadding_1521449275736;71;1,00
D_AES_128_ECB_10_PKCS5Padding_1521449275736;75;,00
D_AES_192_ECB_10_PKCS5Padding_1521449275736;75;,00
D_AES_256_ECB_10_PKCS5Padding_1521449275736;55;,00
D_AES_128_ECB_10_ZeroBytePadding_1521449275736;72;,00
D_AES_192_ECB_10_ZeroBytePadding_1521449275736;108;,00
D_AES_256_ECB_10_ZeroBytePadding_1521449275736;54;,00
