Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_10_PKCS5Padding_1521404543009;25;2,00
E_AES_192_CBC_10_PKCS5Padding_1521404543009;67;1,00
E_AES_256_CBC_10_PKCS5Padding_1521404543009;42;,00
E_AES_128_CBC_10_ZeroBytePadding_1521404543009;34;,00
E_AES_192_CBC_10_ZeroBytePadding_1521404543009;59;,00
E_AES_256_CBC_10_ZeroBytePadding_1521404543009;80;,00
E_AES_128_ECB_10_PKCS5Padding_1521404543009;72;,00
E_AES_192_ECB_10_PKCS5Padding_1521404543009;29;1,00
E_AES_256_ECB_10_PKCS5Padding_1521404543009;95;,00
E_AES_128_ECB_10_ZeroBytePadding_1521404543009;25;,00
E_AES_192_ECB_10_ZeroBytePadding_1521404543009;35;,00
E_AES_256_ECB_10_ZeroBytePadding_1521404543009;39;,00
