Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_10_PKCS5Padding_1521625363910;39;1,00
E_AES_192_CBC_10_PKCS5Padding_1521625363910;90;,00
E_AES_256_CBC_10_PKCS5Padding_1521625363910;60;,00
E_AES_128_CBC_10_ZeroBytePadding_1521625363910;37;,00
E_AES_192_CBC_10_ZeroBytePadding_1521625363910;59;1,00
E_AES_256_CBC_10_ZeroBytePadding_1521625363910;90;,00
E_AES_128_ECB_10_PKCS5Padding_1521625363910;47;,00
E_AES_192_ECB_10_PKCS5Padding_1521625363910;34;,00
E_AES_256_ECB_10_PKCS5Padding_1521625363910;92;1,00
E_AES_128_ECB_10_ZeroBytePadding_1521625363910;62;,00
E_AES_192_ECB_10_ZeroBytePadding_1521625363910;47;,00
E_AES_256_ECB_10_ZeroBytePadding_1521625363910;70;,00
