Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_10_PKCS5Padding_1521460372976;75;,00
D_AES_192_CBC_10_PKCS5Padding_1521460372976;93;,00
D_AES_256_CBC_10_PKCS5Padding_1521460372976;82;1,00
D_AES_128_CBC_10_ZeroBytePadding_1521460372976;44;,00
D_AES_192_CBC_10_ZeroBytePadding_1521460372976;66;,00
D_AES_256_CBC_10_ZeroBytePadding_1521460372976;66;1,00
D_AES_128_ECB_10_PKCS5Padding_1521460372976;80;,00
D_AES_192_ECB_10_PKCS5Padding_1521460372976;43;,00
D_AES_256_ECB_10_PKCS5Padding_1521460372976;49;,00
D_AES_128_ECB_10_ZeroBytePadding_1521460372976;71;,00
D_AES_192_ECB_10_ZeroBytePadding_1521460372976;56;,00
D_AES_256_ECB_10_ZeroBytePadding_1521460372976;44;1,00
