Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_10_PKCS5Padding_1521406967720;61;1,00
E_AES_192_CBC_10_PKCS5Padding_1521406967720;43;,00
E_AES_256_CBC_10_PKCS5Padding_1521406967720;39;1,00
E_AES_128_CBC_10_ZeroBytePadding_1521406967720;67;,00
E_AES_192_CBC_10_ZeroBytePadding_1521406967720;153;,00
E_AES_256_CBC_10_ZeroBytePadding_1521406967720;41;,00
E_AES_128_ECB_10_PKCS5Padding_1521406967720;41;,00
E_AES_192_ECB_10_PKCS5Padding_1521406967720;87;,00
E_AES_256_ECB_10_PKCS5Padding_1521406967720;55;,00
E_AES_128_ECB_10_ZeroBytePadding_1521406967720;89;,00
E_AES_192_ECB_10_ZeroBytePadding_1521406967720;34;,00
E_AES_256_ECB_10_ZeroBytePadding_1521406967720;66;,00
