Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_10_PKCS5Padding_1521407632051;85;2,00
E_AES_192_CBC_10_PKCS5Padding_1521407632051;70;,00
E_AES_256_CBC_10_PKCS5Padding_1521407632051;44;,00
E_AES_128_CBC_10_ZeroBytePadding_1521407632051;67;,00
E_AES_192_CBC_10_ZeroBytePadding_1521407632051;72;1,00
E_AES_256_CBC_10_ZeroBytePadding_1521407632051;57;2,00
E_AES_128_ECB_10_PKCS5Padding_1521407632051;85;2,00
E_AES_192_ECB_10_PKCS5Padding_1521407632051;43;,00
E_AES_256_ECB_10_PKCS5Padding_1521407632051;20;,00
E_AES_128_ECB_10_ZeroBytePadding_1521407632051;74;,00
E_AES_192_ECB_10_ZeroBytePadding_1521407632051;71;,00
E_AES_256_ECB_10_ZeroBytePadding_1521407632051;94;1,00
