Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_10_PKCS5Padding_1521409141532;52;1,00
E_AES_192_CBC_10_PKCS5Padding_1521409141532;84;1,00
E_AES_256_CBC_10_PKCS5Padding_1521409141532;78;,00
E_AES_128_CBC_10_ZeroBytePadding_1521409141532;106;,00
E_AES_192_CBC_10_ZeroBytePadding_1521409141532;76;,00
E_AES_256_CBC_10_ZeroBytePadding_1521409141532;69;,00
E_AES_128_ECB_10_PKCS5Padding_1521409141532;66;,00
E_AES_192_ECB_10_PKCS5Padding_1521409141532;83;,00
E_AES_256_ECB_10_PKCS5Padding_1521409141532;77;,00
E_AES_128_ECB_10_ZeroBytePadding_1521409141532;80;1,00
E_AES_192_ECB_10_ZeroBytePadding_1521409141532;71;,00
E_AES_256_ECB_10_ZeroBytePadding_1521409141532;80;,00
