Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_10_PKCS5Padding_1521447883530;37;,00
D_AES_192_CBC_10_PKCS5Padding_1521447883530;29;,00
D_AES_256_CBC_10_PKCS5Padding_1521447883530;24;,00
D_AES_128_CBC_10_ZeroBytePadding_1521447883530;86;,00
D_AES_192_CBC_10_ZeroBytePadding_1521447883530;49;,00
D_AES_256_CBC_10_ZeroBytePadding_1521447883530;91;1,00
D_AES_128_ECB_10_PKCS5Padding_1521447883530;26;,00
D_AES_192_ECB_10_PKCS5Padding_1521447883530;20;,00
D_AES_256_ECB_10_PKCS5Padding_1521447883530;50;,00
D_AES_128_ECB_10_ZeroBytePadding_1521447883530;52;,00
D_AES_192_ECB_10_ZeroBytePadding_1521447883530;43;1,00
D_AES_256_ECB_10_ZeroBytePadding_1521447883530;33;,00
