Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_10_PKCS5Padding_1521459101227;45;,00
E_AES_192_CBC_10_PKCS5Padding_1521459101227;43;,00
E_AES_256_CBC_10_PKCS5Padding_1521459101227;76;,00
E_AES_128_CBC_10_ZeroBytePadding_1521459101227;68;,00
E_AES_192_CBC_10_ZeroBytePadding_1521459101227;70;,00
E_AES_256_CBC_10_ZeroBytePadding_1521459101227;55;,00
E_AES_128_ECB_10_PKCS5Padding_1521459101227;92;,00
E_AES_192_ECB_10_PKCS5Padding_1521459101227;75;,00
E_AES_256_ECB_10_PKCS5Padding_1521459101227;92;,00
E_AES_128_ECB_10_ZeroBytePadding_1521459101227;94;1,00
E_AES_192_ECB_10_ZeroBytePadding_1521459101227;63;,00
E_AES_256_ECB_10_ZeroBytePadding_1521459101227;86;,00
