Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_10_PKCS5Padding_1521625466316;52;1,00
E_AES_192_CBC_10_PKCS5Padding_1521625466316;82;,00
E_AES_256_CBC_10_PKCS5Padding_1521625466316;64;,00
E_AES_128_CBC_10_ZeroBytePadding_1521625466316;90;,00
E_AES_192_CBC_10_ZeroBytePadding_1521625466316;64;1,00
E_AES_256_CBC_10_ZeroBytePadding_1521625466316;73;,00
E_AES_128_ECB_10_PKCS5Padding_1521625466316;47;,00
E_AES_192_ECB_10_PKCS5Padding_1521625466316;67;,00
E_AES_256_ECB_10_PKCS5Padding_1521625466316;67;1,00
E_AES_128_ECB_10_ZeroBytePadding_1521625466316;57;,00
E_AES_192_ECB_10_ZeroBytePadding_1521625466316;70;,00
E_AES_256_ECB_10_ZeroBytePadding_1521625466316;72;,00
