Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_100_PKCS5Padding_1521407836679;50;1,00
E_AES_192_CBC_100_PKCS5Padding_1521407836679;47;1,00
E_AES_256_CBC_100_PKCS5Padding_1521407836679;86;,00
E_AES_128_CBC_100_ZeroBytePadding_1521407836679;98;1,00
E_AES_192_CBC_100_ZeroBytePadding_1521407836679;57;,00
E_AES_256_CBC_100_ZeroBytePadding_1521407836679;59;1,00
E_AES_128_ECB_100_PKCS5Padding_1521407836679;72;,00
E_AES_192_ECB_100_PKCS5Padding_1521407836679;43;,00
E_AES_256_ECB_100_PKCS5Padding_1521407836679;70;,00
E_AES_128_ECB_100_ZeroBytePadding_1521407836679;53;,00
E_AES_192_ECB_100_ZeroBytePadding_1521407836679;76;,00
E_AES_256_ECB_100_ZeroBytePadding_1521407836679;45;1,00
