Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_100_PKCS5Padding_1521404733303;54;1,00
E_AES_192_CBC_100_PKCS5Padding_1521404733303;62;1,00
E_AES_256_CBC_100_PKCS5Padding_1521404733303;23;,00
E_AES_128_CBC_100_ZeroBytePadding_1521404733303;82;,00
E_AES_192_CBC_100_ZeroBytePadding_1521404733303;73;2,00
E_AES_256_CBC_100_ZeroBytePadding_1521404733303;77;2,00
E_AES_128_ECB_100_PKCS5Padding_1521404733303;46;,00
E_AES_192_ECB_100_PKCS5Padding_1521404733303;49;2,00
E_AES_256_ECB_100_PKCS5Padding_1521404733303;76;4,00
E_AES_128_ECB_100_ZeroBytePadding_1521404733303;105;2,00
E_AES_192_ECB_100_ZeroBytePadding_1521404733303;101;2,00
E_AES_256_ECB_100_ZeroBytePadding_1521404733303;57;2,00
