Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_100_PKCS5Padding_1521409420320;49;,00
D_AES_192_CBC_100_PKCS5Padding_1521409420320;73;10,00
D_AES_256_CBC_100_PKCS5Padding_1521409420320;110;,00
D_AES_128_CBC_100_ZeroBytePadding_1521409420320;128;,00
D_AES_192_CBC_100_ZeroBytePadding_1521409420320;74;,00
D_AES_256_CBC_100_ZeroBytePadding_1521409420320;53;,00
D_AES_128_ECB_100_PKCS5Padding_1521409420320;28;1,00
D_AES_192_ECB_100_PKCS5Padding_1521409420320;25;,00
D_AES_256_ECB_100_PKCS5Padding_1521409420320;65;1,00
D_AES_128_ECB_100_ZeroBytePadding_1521409420320;43;,00
D_AES_192_ECB_100_ZeroBytePadding_1521409420320;43;,00
D_AES_256_ECB_100_ZeroBytePadding_1521409420320;75;1,00
