Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_100_PKCS5Padding_1521448100065;61;,00
D_AES_192_CBC_100_PKCS5Padding_1521448100065;43;,00
D_AES_256_CBC_100_PKCS5Padding_1521448100065;75;,00
D_AES_128_CBC_100_ZeroBytePadding_1521448100065;80;,00
D_AES_192_CBC_100_ZeroBytePadding_1521448100065;20;,00
D_AES_256_CBC_100_ZeroBytePadding_1521448100065;64;1,00
D_AES_128_ECB_100_PKCS5Padding_1521448100065;85;,00
D_AES_192_ECB_100_PKCS5Padding_1521448100065;65;1,00
D_AES_256_ECB_100_PKCS5Padding_1521448100065;55;,00
D_AES_128_ECB_100_ZeroBytePadding_1521448100065;58;1,00
D_AES_192_ECB_100_ZeroBytePadding_1521448100065;63;,00
D_AES_256_ECB_100_ZeroBytePadding_1521448100065;64;1,00
