Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_100_PKCS5Padding_1521447475340;39;,00
D_AES_192_CBC_100_PKCS5Padding_1521447475340;63;2,00
D_AES_256_CBC_100_PKCS5Padding_1521447475340;48;2,00
D_AES_128_CBC_100_ZeroBytePadding_1521447475340;69;1,00
D_AES_192_CBC_100_ZeroBytePadding_1521447475340;48;2,00
D_AES_256_CBC_100_ZeroBytePadding_1521447475340;62;2,00
D_AES_128_ECB_100_PKCS5Padding_1521447475340;57;2,00
D_AES_192_ECB_100_PKCS5Padding_1521447475340;72;2,00
D_AES_256_ECB_100_PKCS5Padding_1521447475340;47;2,00
D_AES_128_ECB_100_ZeroBytePadding_1521447475340;45;,00
D_AES_192_ECB_100_ZeroBytePadding_1521447475340;19;,00
D_AES_256_ECB_100_ZeroBytePadding_1521447475340;71;,00
