Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_100_PKCS5Padding_1521449564784;27;,00
D_AES_192_CBC_100_PKCS5Padding_1521449564784;85;,00
D_AES_256_CBC_100_PKCS5Padding_1521449564784;71;,00
D_AES_128_CBC_100_ZeroBytePadding_1521449564784;55;1,00
D_AES_192_CBC_100_ZeroBytePadding_1521449564784;71;,00
D_AES_256_CBC_100_ZeroBytePadding_1521449564784;63;1,00
D_AES_128_ECB_100_PKCS5Padding_1521449564784;101;,00
D_AES_192_ECB_100_PKCS5Padding_1521449564784;42;,00
D_AES_256_ECB_100_PKCS5Padding_1521449564784;80;1,00
D_AES_128_ECB_100_ZeroBytePadding_1521449564784;63;,00
D_AES_192_ECB_100_ZeroBytePadding_1521449564784;52;,00
D_AES_256_ECB_100_ZeroBytePadding_1521449564784;67;,00
