Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_100_PKCS5Padding_1521626684644;79;,00
E_AES_192_CBC_100_PKCS5Padding_1521626684644;55;1,00
E_AES_256_CBC_100_PKCS5Padding_1521626684644;78;,00
E_AES_128_CBC_100_ZeroBytePadding_1521626684644;62;,00
E_AES_192_CBC_100_ZeroBytePadding_1521626684644;64;1,00
E_AES_256_CBC_100_ZeroBytePadding_1521626684644;70;,00
E_AES_128_ECB_100_PKCS5Padding_1521626684644;45;,00
E_AES_192_ECB_100_PKCS5Padding_1521626684644;48;1,00
E_AES_256_ECB_100_PKCS5Padding_1521626684644;41;,00
E_AES_128_ECB_100_ZeroBytePadding_1521626684644;52;,00
E_AES_192_ECB_100_ZeroBytePadding_1521626684644;86;,00
E_AES_256_ECB_100_ZeroBytePadding_1521626684644;94;,00
