Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_100_PKCS5Padding_1521406533157;30;1,00
D_AES_192_CBC_100_PKCS5Padding_1521406533157;70;,00
D_AES_256_CBC_100_PKCS5Padding_1521406533157;59;1,00
D_AES_128_CBC_100_ZeroBytePadding_1521406533157;74;,00
D_AES_192_CBC_100_ZeroBytePadding_1521406533157;76;,00
D_AES_256_CBC_100_ZeroBytePadding_1521406533157;39;1,00
D_AES_128_ECB_100_PKCS5Padding_1521406533157;48;1,00
D_AES_192_ECB_100_PKCS5Padding_1521406533157;64;,00
D_AES_256_ECB_100_PKCS5Padding_1521406533157;83;,00
D_AES_128_ECB_100_ZeroBytePadding_1521406533157;53;,00
D_AES_192_ECB_100_ZeroBytePadding_1521406533157;78;,00
D_AES_256_ECB_100_ZeroBytePadding_1521406533157;74;1,00
