Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_100_PKCS5Padding_1521627329455;83;,00
E_AES_192_CBC_100_PKCS5Padding_1521627329455;67;,00
E_AES_256_CBC_100_PKCS5Padding_1521627329455;108;,00
E_AES_128_CBC_100_ZeroBytePadding_1521627329455;89;,00
E_AES_192_CBC_100_ZeroBytePadding_1521627329455;53;,00
E_AES_256_CBC_100_ZeroBytePadding_1521627329455;79;,00
E_AES_128_ECB_100_PKCS5Padding_1521627329455;62;,00
E_AES_192_ECB_100_PKCS5Padding_1521627329455;44;,00
E_AES_256_ECB_100_PKCS5Padding_1521627329455;58;,00
E_AES_128_ECB_100_ZeroBytePadding_1521627329455;56;,00
E_AES_192_ECB_100_ZeroBytePadding_1521627329455;52;,00
E_AES_256_ECB_100_ZeroBytePadding_1521627329455;75;,00
