Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_100_PKCS5Padding_1521626838019;81;,00
E_AES_192_CBC_100_PKCS5Padding_1521626838019;65;,00
E_AES_256_CBC_100_PKCS5Padding_1521626838019;53;,00
E_AES_128_CBC_100_ZeroBytePadding_1521626838019;65;1,00
E_AES_192_CBC_100_ZeroBytePadding_1521626838019;60;,00
E_AES_256_CBC_100_ZeroBytePadding_1521626838019;60;1,00
E_AES_128_ECB_100_PKCS5Padding_1521626838019;61;,00
E_AES_192_ECB_100_PKCS5Padding_1521626838019;61;,00
E_AES_256_ECB_100_PKCS5Padding_1521626838019;48;1,00
E_AES_128_ECB_100_ZeroBytePadding_1521626838019;53;,00
E_AES_192_ECB_100_ZeroBytePadding_1521626838019;72;,00
E_AES_256_ECB_100_ZeroBytePadding_1521626838019;90;1,00
