Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_100_PKCS5Padding_1521626387587;31;,00
E_AES_192_CBC_100_PKCS5Padding_1521626387587;47;,00
E_AES_256_CBC_100_PKCS5Padding_1521626387587;73;,00
E_AES_128_CBC_100_ZeroBytePadding_1521626387587;72;,00
E_AES_192_CBC_100_ZeroBytePadding_1521626387587;74;,00
E_AES_256_CBC_100_ZeroBytePadding_1521626387587;92;1,00
E_AES_128_ECB_100_PKCS5Padding_1521626387587;62;,00
E_AES_192_ECB_100_PKCS5Padding_1521626387587;63;,00
E_AES_256_ECB_100_PKCS5Padding_1521626387587;56;,00
E_AES_128_ECB_100_ZeroBytePadding_1521626387587;85;1,00
E_AES_192_ECB_100_ZeroBytePadding_1521626387587;49;,00
E_AES_256_ECB_100_ZeroBytePadding_1521626387587;67;,00
