Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_100_PKCS5Padding_1521407238288;63;1,00
E_AES_192_CBC_100_PKCS5Padding_1521407238288;62;,00
E_AES_256_CBC_100_PKCS5Padding_1521407238288;122;,00
E_AES_128_CBC_100_ZeroBytePadding_1521407238288;58;1,00
E_AES_192_CBC_100_ZeroBytePadding_1521407238288;28;1,00
E_AES_256_CBC_100_ZeroBytePadding_1521407238288;47;1,00
E_AES_128_ECB_100_PKCS5Padding_1521407238288;54;,00
E_AES_192_ECB_100_PKCS5Padding_1521407238288;59;,00
E_AES_256_ECB_100_PKCS5Padding_1521407238288;31;,00
E_AES_128_ECB_100_ZeroBytePadding_1521407238288;45;1,00
E_AES_192_ECB_100_ZeroBytePadding_1521407238288;74;,00
E_AES_256_ECB_100_ZeroBytePadding_1521407238288;48;,00
