Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_100_PKCS5Padding_1521409329526;77;,00
E_AES_192_CBC_100_PKCS5Padding_1521409329526;107;1,00
E_AES_256_CBC_100_PKCS5Padding_1521409329526;54;1,00
E_AES_128_CBC_100_ZeroBytePadding_1521409329526;103;1,00
E_AES_192_CBC_100_ZeroBytePadding_1521409329526;62;,00
E_AES_256_CBC_100_ZeroBytePadding_1521409329526;78;,00
E_AES_128_ECB_100_PKCS5Padding_1521409329526;86;1,00
E_AES_192_ECB_100_PKCS5Padding_1521409329526;77;,00
E_AES_256_ECB_100_PKCS5Padding_1521409329526;67;,00
E_AES_128_ECB_100_ZeroBytePadding_1521409329526;78;1,00
E_AES_192_ECB_100_ZeroBytePadding_1521409329526;30;,00
E_AES_256_ECB_100_ZeroBytePadding_1521409329526;90;,00
