Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_100_PKCS5Padding_1521626259589;29;1,00
E_AES_192_CBC_100_PKCS5Padding_1521626259589;62;3,00
E_AES_256_CBC_100_PKCS5Padding_1521626259589;62;,00
E_AES_128_CBC_100_ZeroBytePadding_1521626259589;93;,00
E_AES_192_CBC_100_ZeroBytePadding_1521626259589;49;1,00
E_AES_256_CBC_100_ZeroBytePadding_1521626259589;63;,00
E_AES_128_ECB_100_PKCS5Padding_1521626259589;66;,00
E_AES_192_ECB_100_PKCS5Padding_1521626259589;70;,00
E_AES_256_ECB_100_PKCS5Padding_1521626259589;63;,00
E_AES_128_ECB_100_ZeroBytePadding_1521626259589;67;,00
E_AES_192_ECB_100_ZeroBytePadding_1521626259589;48;,00
E_AES_256_ECB_100_ZeroBytePadding_1521626259589;40;,00
