Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_100_PKCS5Padding_1521404823324;85;,00
D_AES_192_CBC_100_PKCS5Padding_1521404823324;43;,00
D_AES_256_CBC_100_PKCS5Padding_1521404823324;71;2,00
D_AES_128_CBC_100_ZeroBytePadding_1521404823324;67;2,00
D_AES_192_CBC_100_ZeroBytePadding_1521404823324;104;2,00
D_AES_256_CBC_100_ZeroBytePadding_1521404823324;90;3,00
D_AES_128_ECB_100_PKCS5Padding_1521404823324;51;,00
D_AES_192_ECB_100_PKCS5Padding_1521404823324;77;2,00
D_AES_256_ECB_100_PKCS5Padding_1521404823324;70;2,00
D_AES_128_ECB_100_ZeroBytePadding_1521404823324;77;2,00
D_AES_192_ECB_100_ZeroBytePadding_1521404823324;61;,00
D_AES_256_ECB_100_ZeroBytePadding_1521404823324;50;1,00
