Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_100_PKCS5Padding_1521407932897;48;,00
D_AES_192_CBC_100_PKCS5Padding_1521407932897;45;,00
D_AES_256_CBC_100_PKCS5Padding_1521407932897;89;,00
D_AES_128_CBC_100_ZeroBytePadding_1521407932897;64;,00
D_AES_192_CBC_100_ZeroBytePadding_1521407932897;67;1,00
D_AES_256_CBC_100_ZeroBytePadding_1521407932897;49;1,00
D_AES_128_ECB_100_PKCS5Padding_1521407932897;70;,00
D_AES_192_ECB_100_PKCS5Padding_1521407932897;56;,00
D_AES_256_ECB_100_PKCS5Padding_1521407932897;64;1,00
D_AES_128_ECB_100_ZeroBytePadding_1521407932897;66;,00
D_AES_192_ECB_100_ZeroBytePadding_1521407932897;42;,00
D_AES_256_ECB_100_ZeroBytePadding_1521407932897;65;,00
