Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_100_PKCS5Padding_1521449371951;47;1,00
E_AES_192_CBC_100_PKCS5Padding_1521449371951;71;,00
E_AES_256_CBC_100_PKCS5Padding_1521449371951;56;,00
E_AES_128_CBC_100_ZeroBytePadding_1521449371951;102;,00
E_AES_192_CBC_100_ZeroBytePadding_1521449371951;89;1,00
E_AES_256_CBC_100_ZeroBytePadding_1521449371951;76;,00
E_AES_128_ECB_100_PKCS5Padding_1521449371951;67;,00
E_AES_192_ECB_100_PKCS5Padding_1521449371951;70;,00
E_AES_256_ECB_100_PKCS5Padding_1521449371951;62;,00
E_AES_128_ECB_100_ZeroBytePadding_1521449371951;76;,00
E_AES_192_ECB_100_ZeroBytePadding_1521449371951;61;1,00
E_AES_256_ECB_100_ZeroBytePadding_1521449371951;49;,00
