Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_100_PKCS5Padding_1521406440174;73;,00
E_AES_192_CBC_100_PKCS5Padding_1521406440174;76;,00
E_AES_256_CBC_100_PKCS5Padding_1521406440174;42;,00
E_AES_128_CBC_100_ZeroBytePadding_1521406440174;59;1,00
E_AES_192_CBC_100_ZeroBytePadding_1521406440174;49;,00
E_AES_256_CBC_100_ZeroBytePadding_1521406440174;49;1,00
E_AES_128_ECB_100_PKCS5Padding_1521406440174;67;,00
E_AES_192_ECB_100_PKCS5Padding_1521406440174;49;,00
E_AES_256_ECB_100_PKCS5Padding_1521406440174;61;,00
E_AES_128_ECB_100_ZeroBytePadding_1521406440174;55;1,00
E_AES_192_ECB_100_ZeroBytePadding_1521406440174;71;,00
E_AES_256_ECB_100_ZeroBytePadding_1521406440174;48;,00
