Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_100_PKCS5Padding_1521447380284;26;,00
E_AES_192_CBC_100_PKCS5Padding_1521447380284;50;,00
E_AES_256_CBC_100_PKCS5Padding_1521447380284;23;1,00
E_AES_128_CBC_100_ZeroBytePadding_1521447380284;49;1,00
E_AES_192_CBC_100_ZeroBytePadding_1521447380284;23;1,00
E_AES_256_CBC_100_ZeroBytePadding_1521447380284;39;,00
E_AES_128_ECB_100_PKCS5Padding_1521447380284;45;,00
E_AES_192_ECB_100_PKCS5Padding_1521447380284;112;2,00
E_AES_256_ECB_100_PKCS5Padding_1521447380284;31;2,00
E_AES_128_ECB_100_ZeroBytePadding_1521447380284;34;2,00
E_AES_192_ECB_100_ZeroBytePadding_1521447380284;81;2,00
E_AES_256_ECB_100_ZeroBytePadding_1521447380284;46;4,00
