Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_100_PKCS5Padding_1521447987344;49;,00
E_AES_192_CBC_100_PKCS5Padding_1521447987344;97;,00
E_AES_256_CBC_100_PKCS5Padding_1521447987344;58;,00
E_AES_128_CBC_100_ZeroBytePadding_1521447987344;87;1,00
E_AES_192_CBC_100_ZeroBytePadding_1521447987344;91;1,00
E_AES_256_CBC_100_ZeroBytePadding_1521447987344;43;1,00
E_AES_128_ECB_100_PKCS5Padding_1521447987344;70;,00
E_AES_192_ECB_100_PKCS5Padding_1521447987344;38;1,00
E_AES_256_ECB_100_PKCS5Padding_1521447987344;85;1,00
E_AES_128_ECB_100_ZeroBytePadding_1521447987344;36;,00
E_AES_192_ECB_100_ZeroBytePadding_1521447987344;66;,00
E_AES_256_ECB_100_ZeroBytePadding_1521447987344;49;,00
