Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_100_PKCS5Padding_1521407334429;46;1,00
D_AES_192_CBC_100_PKCS5Padding_1521407334429;26;,00
D_AES_256_CBC_100_PKCS5Padding_1521407334429;65;,00
D_AES_128_CBC_100_ZeroBytePadding_1521407334429;59;,00
D_AES_192_CBC_100_ZeroBytePadding_1521407334429;39;,00
D_AES_256_CBC_100_ZeroBytePadding_1521407334429;32;2,00
D_AES_128_ECB_100_PKCS5Padding_1521407334429;68;2,00
D_AES_192_ECB_100_PKCS5Padding_1521407334429;77;2,00
D_AES_256_ECB_100_PKCS5Padding_1521407334429;82;2,00
D_AES_128_ECB_100_ZeroBytePadding_1521407334429;45;2,00
D_AES_192_ECB_100_ZeroBytePadding_1521407334429;75;2,00
D_AES_256_ECB_100_ZeroBytePadding_1521407334429;85;2,00
