Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_100_PKCS5Padding_1521627069313;82;,00
E_AES_192_CBC_100_PKCS5Padding_1521627069313;78;,00
E_AES_256_CBC_100_PKCS5Padding_1521627069313;56;1,00
E_AES_128_CBC_100_ZeroBytePadding_1521627069313;43;,00
E_AES_192_CBC_100_ZeroBytePadding_1521627069313;54;,00
E_AES_256_CBC_100_ZeroBytePadding_1521627069313;67;,00
E_AES_128_ECB_100_PKCS5Padding_1521627069313;77;,00
E_AES_192_ECB_100_PKCS5Padding_1521627069313;106;,00
E_AES_256_ECB_100_PKCS5Padding_1521627069313;115;,00
E_AES_128_ECB_100_ZeroBytePadding_1521627069313;76;,00
E_AES_192_ECB_100_ZeroBytePadding_1521627069313;90;,00
E_AES_256_ECB_100_ZeroBytePadding_1521627069313;73;,00
