Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_100_PKCS5Padding_1521448600570;30;1,00
E_AES_192_CBC_100_PKCS5Padding_1521448600570;47;,00
E_AES_256_CBC_100_PKCS5Padding_1521448600570;92;,00
E_AES_128_CBC_100_ZeroBytePadding_1521448600570;52;,00
E_AES_192_CBC_100_ZeroBytePadding_1521448600570;85;1,00
E_AES_256_CBC_100_ZeroBytePadding_1521448600570;60;1,00
E_AES_128_ECB_100_PKCS5Padding_1521448600570;60;,00
E_AES_192_ECB_100_PKCS5Padding_1521448600570;61;,00
E_AES_256_ECB_100_PKCS5Padding_1521448600570;77;1,00
E_AES_128_ECB_100_ZeroBytePadding_1521448600570;74;,00
E_AES_192_ECB_100_ZeroBytePadding_1521448600570;59;1,00
E_AES_256_ECB_100_ZeroBytePadding_1521448600570;61;,00
