Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_100_PKCS5Padding_1521448701770;45;,00
D_AES_192_CBC_100_PKCS5Padding_1521448701770;244;2,00
D_AES_256_CBC_100_PKCS5Padding_1521448701770;86;,00
D_AES_128_CBC_100_ZeroBytePadding_1521448701770;30;,00
D_AES_192_CBC_100_ZeroBytePadding_1521448701770;74;,00
D_AES_256_CBC_100_ZeroBytePadding_1521448701770;58;1,00
D_AES_128_ECB_100_PKCS5Padding_1521448701770;57;,00
D_AES_192_ECB_100_PKCS5Padding_1521448701770;55;,00
D_AES_256_ECB_100_PKCS5Padding_1521448701770;50;1,00
D_AES_128_ECB_100_ZeroBytePadding_1521448701770;81;,00
D_AES_192_ECB_100_ZeroBytePadding_1521448701770;23;1,00
D_AES_256_ECB_100_ZeroBytePadding_1521448701770;73;,00
