Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_100_PKCS5Padding_1521459648038;117;,00
D_AES_192_CBC_100_PKCS5Padding_1521459648038;49;1,00
D_AES_256_CBC_100_PKCS5Padding_1521459648038;67;,00
D_AES_128_CBC_100_ZeroBytePadding_1521459648038;84;,00
D_AES_192_CBC_100_ZeroBytePadding_1521459648038;89;1,00
D_AES_256_CBC_100_ZeroBytePadding_1521459648038;87;,00
D_AES_128_ECB_100_PKCS5Padding_1521459648038;95;,00
D_AES_192_ECB_100_PKCS5Padding_1521459648038;82;1,00
D_AES_256_ECB_100_PKCS5Padding_1521459648038;68;,00
D_AES_128_ECB_100_ZeroBytePadding_1521459648038;89;,00
D_AES_192_ECB_100_ZeroBytePadding_1521459648038;72;,00
D_AES_256_ECB_100_ZeroBytePadding_1521459648038;49;,00
