Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_100_PKCS5Padding_1521459527149;83;3,00
E_AES_192_CBC_100_PKCS5Padding_1521459527149;63;,00
E_AES_256_CBC_100_PKCS5Padding_1521459527149;63;,00
E_AES_128_CBC_100_ZeroBytePadding_1521459527149;86;1,00
E_AES_192_CBC_100_ZeroBytePadding_1521459527149;77;,00
E_AES_256_CBC_100_ZeroBytePadding_1521459527149;75;,00
E_AES_128_ECB_100_PKCS5Padding_1521459527149;62;,00
E_AES_192_ECB_100_PKCS5Padding_1521459527149;67;,00
E_AES_256_ECB_100_PKCS5Padding_1521459527149;58;,00
E_AES_128_ECB_100_ZeroBytePadding_1521459527149;82;,00
E_AES_192_ECB_100_ZeroBytePadding_1521459527149;89;,00
E_AES_256_ECB_100_ZeroBytePadding_1521459527149;76;1,00
