Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_100_PKCS5Padding_1521627212064;39;,00
E_AES_192_CBC_100_PKCS5Padding_1521627212064;72;,00
E_AES_256_CBC_100_PKCS5Padding_1521627212064;55;,00
E_AES_128_CBC_100_ZeroBytePadding_1521627212064;29;,00
E_AES_192_CBC_100_ZeroBytePadding_1521627212064;77;,00
E_AES_256_CBC_100_ZeroBytePadding_1521627212064;41;,00
E_AES_128_ECB_100_PKCS5Padding_1521627212064;54;,00
E_AES_192_ECB_100_PKCS5Padding_1521627212064;46;,00
E_AES_256_ECB_100_PKCS5Padding_1521627212064;90;,00
E_AES_128_ECB_100_ZeroBytePadding_1521627212064;91;,00
E_AES_192_ECB_100_ZeroBytePadding_1521627212064;94;,00
E_AES_256_ECB_100_ZeroBytePadding_1521627212064;77;,00
