0,0161;0,000423935;;;;
0,0049;0,0001195;;;;
0,0193;0,000507195;;;0,0161;0,000423935
0,0048;0,00011697;;;0,016;0,00042175
0,0226;0,000595945;;;0,016;0,0004194
0,0116;0,000282485;;;0,016;0,00042165
0,016;0,00042175;;;0,016;0,00041985
0,005;0,0001235;;;0,016;0,00042135
0,02;0,0005263;;;0,016;0,0004179
0,005;0,000121;;;0,016;0,0004213
0,022;0,00057995;;;0,016;0,00042125
0,012;0,00029375;;;0,016;0,0004184
0,016;0,0004194;;;0,016;0,0004217
0,004;9,71E+09;;;0,016;0,0004208
0,02;0,00052585;;;;
0,005;0,000121;;;0,016008333;0,000420774
0,022;0,0005815;;;16,00833333;0,42077375
0,012;0,0002933;;;;
0,016;0,00042165;;;;
0,005;0,00012295;;;;
0,02;0,0005255;;;;
0,005;0,000121;;;;
0,022;0,00057855;;;;
0,012;0,00029425;;;;
0,016;0,00041985;;;;
0,005;0,00012245;;;;
0,02;0,0005247;;;;
0,005;0,0001215;;;;
0,022;0,00058005;;;;
0,012;0,0002923;;;;
0,016;0,00042135;;;;
0,005;0,00012345;;;;
0,02;0,00052785;;;;
0,005;0,0001215;;;;
0,022;0,0005782;;;;
0,012;0,0002923;;;;
0,016;0,0004179;;;;
0,005;0,0001225;;;;
0,02;0,00052625;;;;
0,004;9,71E+09;;;;
0,022;0,0005777;;;;
0,012;0,0002913;;;;
0,016;0,0004213;;;;
0,005;0,0001225;;;;
0,02;0,0005268;;;;
0,005;0,000122;;;;
0,022;0,0005824;;;;
0,012;0,0002923;;;;
0,016;0,00042125;;;;
0,004;9,66E+09;;;;
0,02;0,00052485;;;;
0,005;0,000121;;;;
0,022;0,00057765;;;;
0,012;0,0002943;;;;
0,016;0,0004184;;;;
0,004;9,71E+09;;;;
0,02;0,0005249;;;;
0,005;0,000121;;;;
0,022;0,00057875;;;;
0,012;0,00029425;;;;
0,016;0,0004217;;;;
0,005;0,00012445;;;;
0,02;0,00052435;;;;
0,005;0,000121;;;;
0,022;0,00057865;;;;
0,012;0,0002923;;;;
0,016;0,0004208;;;;
0,005;0,00012245;;;;
0,02;0,00052725;;;;
0,005;0,0001205;;;;
0,022;0,00057855;;;;
0,012;0,0002918;;;;
0,013;0,00034215;;;;
0,01;0,000244;;;;
0,02;0,0005325;;;;
