Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_200_PKCS5Padding_1521628768131;39;,00
E_AES_192_CBC_200_PKCS5Padding_1521628768131;70;1,00
E_AES_256_CBC_200_PKCS5Padding_1521628768131;76;,00
E_AES_128_CBC_200_ZeroBytePadding_1521628768131;79;,00
E_AES_192_CBC_200_ZeroBytePadding_1521628768131;55;,00
E_AES_256_CBC_200_ZeroBytePadding_1521628768131;63;,00
E_AES_128_ECB_200_PKCS5Padding_1521628768131;67;1,00
E_AES_192_ECB_200_PKCS5Padding_1521628768131;107;,00
E_AES_256_ECB_200_PKCS5Padding_1521628768131;74;,00
E_AES_128_ECB_200_ZeroBytePadding_1521628768131;87;,00
E_AES_192_ECB_200_ZeroBytePadding_1521628768131;59;,00
E_AES_256_ECB_200_ZeroBytePadding_1521628768131;25;1,00
