Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_200_PKCS5Padding_1521627611768;72;,00
E_AES_192_CBC_200_PKCS5Padding_1521627611768;61;,00
E_AES_256_CBC_200_PKCS5Padding_1521627611768;37;,00
E_AES_128_CBC_200_ZeroBytePadding_1521627611768;63;,00
E_AES_192_CBC_200_ZeroBytePadding_1521627611768;64;1,00
E_AES_256_CBC_200_ZeroBytePadding_1521627611768;77;,00
E_AES_128_ECB_200_PKCS5Padding_1521627611768;65;,00
E_AES_192_ECB_200_PKCS5Padding_1521627611768;67;1,00
E_AES_256_ECB_200_PKCS5Padding_1521627611768;42;,00
E_AES_128_ECB_200_ZeroBytePadding_1521627611768;64;1,00
E_AES_192_ECB_200_ZeroBytePadding_1521627611768;87;,00
E_AES_256_ECB_200_ZeroBytePadding_1521627611768;57;,00
