Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_200_PKCS5Padding_1521459831339;71;,00
E_AES_192_CBC_200_PKCS5Padding_1521459831339;89;,00
E_AES_256_CBC_200_PKCS5Padding_1521459831339;71;1,00
E_AES_128_CBC_200_ZeroBytePadding_1521459831339;70;,00
E_AES_192_CBC_200_ZeroBytePadding_1521459831339;49;,00
E_AES_256_CBC_200_ZeroBytePadding_1521459831339;71;1,00
E_AES_128_ECB_200_PKCS5Padding_1521459831339;82;,00
E_AES_192_ECB_200_PKCS5Padding_1521459831339;54;,00
E_AES_256_ECB_200_PKCS5Padding_1521459831339;67;1,00
E_AES_128_ECB_200_ZeroBytePadding_1521459831339;56;,00
E_AES_192_ECB_200_ZeroBytePadding_1521459831339;66;1,00
E_AES_256_ECB_200_ZeroBytePadding_1521459831339;98;,00
