Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_200_PKCS5Padding_1521407431324;38;2,00
E_AES_192_CBC_200_PKCS5Padding_1521407431324;83;,00
E_AES_256_CBC_200_PKCS5Padding_1521407431324;77;,00
E_AES_128_CBC_200_ZeroBytePadding_1521407431324;67;,00
E_AES_192_CBC_200_ZeroBytePadding_1521407431324;72;1,00
E_AES_256_CBC_200_ZeroBytePadding_1521407431324;48;,00
E_AES_128_ECB_200_PKCS5Padding_1521407431324;87;1,00
E_AES_192_ECB_200_PKCS5Padding_1521407431324;83;,00
E_AES_256_ECB_200_PKCS5Padding_1521407431324;54;1,00
E_AES_128_ECB_200_ZeroBytePadding_1521407431324;59;2,00
E_AES_192_ECB_200_ZeroBytePadding_1521407431324;73;2,00
E_AES_256_ECB_200_ZeroBytePadding_1521407431324;69;3,00
