Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_200_PKCS5Padding_1521408035266;67;,00
E_AES_192_CBC_200_PKCS5Padding_1521408035266;56;,00
E_AES_256_CBC_200_PKCS5Padding_1521408035266;63;1,00
E_AES_128_CBC_200_ZeroBytePadding_1521408035266;87;,00
E_AES_192_CBC_200_ZeroBytePadding_1521408035266;73;1,00
E_AES_256_CBC_200_ZeroBytePadding_1521408035266;75;,00
E_AES_128_ECB_200_PKCS5Padding_1521408035266;106;1,00
E_AES_192_ECB_200_PKCS5Padding_1521408035266;81;,00
E_AES_256_ECB_200_PKCS5Padding_1521408035266;68;1,00
E_AES_128_ECB_200_ZeroBytePadding_1521408035266;64;,00
E_AES_192_ECB_200_ZeroBytePadding_1521408035266;69;1,00
E_AES_256_ECB_200_ZeroBytePadding_1521408035266;94;,00
