Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_200_PKCS5Padding_1521449049628;56;,00
D_AES_192_CBC_200_PKCS5Padding_1521449049628;82;1,00
D_AES_256_CBC_200_PKCS5Padding_1521449049628;82;,00
D_AES_128_CBC_200_ZeroBytePadding_1521449049628;23;,00
D_AES_192_CBC_200_ZeroBytePadding_1521449049628;77;1,00
D_AES_256_CBC_200_ZeroBytePadding_1521449049628;80;,00
D_AES_128_ECB_200_PKCS5Padding_1521449049628;79;,00
D_AES_192_ECB_200_PKCS5Padding_1521449049628;73;1,00
D_AES_256_ECB_200_PKCS5Padding_1521449049628;34;,00
D_AES_128_ECB_200_ZeroBytePadding_1521449049628;92;,00
D_AES_192_ECB_200_ZeroBytePadding_1521449049628;43;,00
D_AES_256_ECB_200_ZeroBytePadding_1521449049628;63;1,00
