Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_200_PKCS5Padding_1521447682543;39;,00
D_AES_192_CBC_200_PKCS5Padding_1521447682543;46;,00
D_AES_256_CBC_200_PKCS5Padding_1521447682543;93;1,00
D_AES_128_CBC_200_ZeroBytePadding_1521447682543;28;2,00
D_AES_192_CBC_200_ZeroBytePadding_1521447682543;90;2,00
D_AES_256_CBC_200_ZeroBytePadding_1521447682543;65;3,00
D_AES_128_ECB_200_PKCS5Padding_1521447682543;68;2,00
D_AES_192_ECB_200_PKCS5Padding_1521447682543;33;2,00
D_AES_256_ECB_200_PKCS5Padding_1521447682543;105;3,00
D_AES_128_ECB_200_ZeroBytePadding_1521447682543;55;2,00
D_AES_192_ECB_200_ZeroBytePadding_1521447682543;56;1,00
D_AES_256_ECB_200_ZeroBytePadding_1521447682543;96;1,00
