Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_200_PKCS5Padding_1521448949917;58;,00
E_AES_192_CBC_200_PKCS5Padding_1521448949917;44;1,00
E_AES_256_CBC_200_PKCS5Padding_1521448949917;55;,00
E_AES_128_CBC_200_ZeroBytePadding_1521448949917;77;,00
E_AES_192_CBC_200_ZeroBytePadding_1521448949917;90;1,00
E_AES_256_CBC_200_ZeroBytePadding_1521448949917;66;,00
E_AES_128_ECB_200_PKCS5Padding_1521448949917;80;1,00
E_AES_192_ECB_200_PKCS5Padding_1521448949917;90;1,00
E_AES_256_ECB_200_PKCS5Padding_1521448949917;58;,00
E_AES_128_ECB_200_ZeroBytePadding_1521448949917;98;2,00
E_AES_192_ECB_200_ZeroBytePadding_1521448949917;83;1,00
E_AES_256_ECB_200_ZeroBytePadding_1521448949917;79;,00
