Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_200_PKCS5Padding_1521405015843;59;1,00
D_AES_192_CBC_200_PKCS5Padding_1521405015843;60;,00
D_AES_256_CBC_200_PKCS5Padding_1521405015843;77;1,00
D_AES_128_CBC_200_ZeroBytePadding_1521405015843;74;,00
D_AES_192_CBC_200_ZeroBytePadding_1521405015843;61;2,00
D_AES_256_CBC_200_ZeroBytePadding_1521405015843;35;,00
D_AES_128_ECB_200_PKCS5Padding_1521405015843;64;,00
D_AES_192_ECB_200_PKCS5Padding_1521405015843;68;1,00
D_AES_256_ECB_200_PKCS5Padding_1521405015843;27;1,00
D_AES_128_ECB_200_ZeroBytePadding_1521405015843;44;1,00
D_AES_192_ECB_200_ZeroBytePadding_1521405015843;77;,00
D_AES_256_ECB_200_ZeroBytePadding_1521405015843;105;1,00
