Algorithm;Time(milliseconds);Consumption(mW)
D_AES_128_CBC_200_PKCS5Padding_1521459929899;56;1,00
D_AES_192_CBC_200_PKCS5Padding_1521459929899;72;,00
D_AES_256_CBC_200_PKCS5Padding_1521459929899;66;1,00
D_AES_128_CBC_200_ZeroBytePadding_1521459929899;66;,00
D_AES_192_CBC_200_ZeroBytePadding_1521459929899;91;1,00
D_AES_256_CBC_200_ZeroBytePadding_1521459929899;116;,00
D_AES_128_ECB_200_PKCS5Padding_1521459929899;76;1,00
D_AES_192_ECB_200_PKCS5Padding_1521459929899;72;,00
D_AES_256_ECB_200_PKCS5Padding_1521459929899;54;1,00
D_AES_128_ECB_200_ZeroBytePadding_1521459929899;36;1,00
D_AES_192_ECB_200_ZeroBytePadding_1521459929899;78;1,00
D_AES_256_ECB_200_ZeroBytePadding_1521459929899;76;1,00
