Algorithm;Time(milliseconds);Consumption(mW)
E_AES_128_CBC_200_PKCS5Padding_1521627749647;47;,00
E_AES_192_CBC_200_PKCS5Padding_1521627749647;75;,00
E_AES_256_CBC_200_PKCS5Padding_1521627749647;49;1,00
E_AES_128_CBC_200_ZeroBytePadding_1521627749647;65;,00
E_AES_192_CBC_200_ZeroBytePadding_1521627749647;64;,00
E_AES_256_CBC_200_ZeroBytePadding_1521627749647;63;,00
E_AES_128_ECB_200_PKCS5Padding_1521627749647;82;1,00
E_AES_192_ECB_200_PKCS5Padding_1521627749647;67;,00
E_AES_256_ECB_200_PKCS5Padding_1521627749647;76;1,00
E_AES_128_ECB_200_ZeroBytePadding_1521627749647;75;,00
E_AES_192_ECB_200_ZeroBytePadding_1521627749647;73;,00
E_AES_256_ECB_200_ZeroBytePadding_1521627749647;80;,00
